bank,state,branchname,branchaddress
ACCESS BANK PLC,BENUE,GBOKO,29 JS TARKA STREET
ACCESS BANK PLC,KADUNA,ANCHAU,"ALONG DISTRICT HEAD ROAD,ANCHAU TOWN"
ACCESS BANK PLC,SOKOTO,SHAGARI,"GUSAU/ZURU BYE-PASS JUNCTION, SHAGARI"
ACCESS BANK PLC,SOKOTO,GADA MARKET,ALONG GADA-ILELA ROAD
ACCESS BANK PLC,ZAMFARA,KAURA NAMODA,ALONG KAURA/SHINKAFI ROAD
ACCESS BANK PLC,EDO,EKENWA-BENIN,"ALONG EKENWAN ROAD, OPPOSITE GT PLAZA"
ACCESS BANK PLC,EDO,UROMI,NO 1 MISSION ROAD
ACCESS BANK PLC,AKWA IBOM ,GIBBS STREET,"21/23 Gibss Street, Off Oron Road"
ACCESS BANK PLC,OSUN,APOMU,OKE OLA-APOMU ISOKAN LGA
ACCESS BANK PLC,OYO,SANGO-IBADAN,"ALONG POLY ROAD, SANGO"
ACCESS BANK PLC,OYO,MONOTAN-IBADAN,MONOTAN ROAD
ACCESS BANK PLC,OYO,AKANRAN - IBADAN,ALONG AKANRAN ROAD
ACCESS BANK PLC,OYO,SAKI,SAKI WEST LGA
ACCESS BANK PLC,OYO,ERUWA,ORITA ERUWA
ACCESS BANK PLC,OYO,APATA-IBADAN,"APATA WIRE AND CABLE AREA, APATA"
ACCESS BANK PLC,OYO,GBAGI MARKET,NEW GBAGI MARKET
ACCESS BANK PLC,ONDO,ORE,"ADJACENT NNPC DEPOT, ORE-ONDO"
ACCESS BANK PLC,ONDO,OWO,128 OBA ADESINA ROAD
ACCESS BANK PLC,EKITI,IKERE,OPPOSITE IKERE-AKURE ROAD
ACCESS BANK PLC,OSUN,IREE,ALONG IKIRUN ROAD
ACCESS BANK PLC,FCT ABUJA,AMINU KANO ABUJA,"PLOT 1195, AMINU KANO CRESCENT, WUSE 2, ABUJA."
ACCESS BANK PLC,FCT ABUJA,"ADETOKUNBO ADEMOLA, ABUJA","PLOT 833, ADETOKUNBO ADEMOLA CR. WUSE 2, ABUJA."
ACCESS BANK PLC,FCT ABUJA,"HERBERT MACAULAY, ABUJA","PPPRA BUILDING. PLOT 1012 CADASTRAL ZONE, CENTRAL BUSINESS DISTRICT, ABUJA."
ACCESS BANK PLC,FCT ABUJA,NATIONAL ASSEMBLY," NATIONAL ASSEMBLY COMPLEX , WHITE HOUSE SENATE WING, 3 ARM ZONE, FCT, ABUJA."
